Nome della tabella,File di dati,Colonne chiave primaria,Colonne chiave esterna 1,Nome tabella collegata 1,Colonne chiave tabella collegata 1,Colonne chiave esterna 2,Nome tabella collegata 2,Colonne chiave tabella collegata 2,Colonne chiave esterna 3,Nome tabella collegata 3,Colonne chiave tabella collegata 3,Colonne chiave esterna 4,Nome tabella collegata 4,Colonne chiave tabella collegata 4,Colonne chiave esterna 5,Nome tabella collegata 5,Colonne chiave tabella collegata 4,Colonne chiave esterna 6,Nome tabella collegata 6,Colonne chiave tabella collegata 6,Colonne chiave esterna 7,Nome tabella collegata 7,Colonne chiave tabella collegata 7
LivelloImpatto,LivelloImpatto.csv,1,,,,,,,,,,,,,,,,,,,,,
MacroArea,MacroArea.csv,1,4,LivelloImpatto,1,,,,,,,,,,,,,,,,,,
TipologiaAsset,TipologiaAsset.csv,1,,,,,,,,,,,,,,,,,,,,,
LivelloCriticita,LivelloCriticita.csv,1,,,,,,,,,,,,,,,,,,,,,
CriterioRilevanza,CriterioRilevanza.csv,1,,,,,,,,,,,,,,,,,,,,,
Ubicazione,Ubicazione.csv,1,,,,,,,,,,,,,,,,,,,,,
ModoErogazione,ModoErogazione.csv,1,,,,,,,,,,,,,,,,,,,,,
TipoAccesso,TipoAccesso.csv,1,,,,,,,,,,,,,,,,,,,,,
ClasseRete,ClasseRete.csv,1,,,,,,,,,,,,,,,,,,,,,
CPV,CPV.csv,1,,,,,,,,,,,,,,,,,,,,,
Paese,Paese.csv,1,,,,,,,,,,,,,,,,,,,,,
ResponsabilitaOrganizzativa,ResponsabilitaOrganizzativa.csv,1,6,ResponsabilitaOrganizzativa,1,,,,,,,,,,,,,,,,,,
ServizioErogato,ServizioErogato.csv,1,4,MacroArea,1,5,LivelloImpatto,1,9,ResponsabilitaOrganizzativa,1,,,,,,,,,,,,
Fornitore,Fornitore.csv,1,4,Paese,1,9,ResponsabilitaOrganizzativa,1,,,,,,,,,,,,,,,
ServizioFruito,ServizioFruito.csv,1,4,Fornitore,1,5,CPV,1,6,CriterioRilevanza,1,7,Ubicazione,1,,,,,,,,,
Asset,Asset.csv,1,3,TipologiaAsset,1,6,ModoErogazione,1,9,ClasseRete,1,10,Fornitore,1,11,TipoAccesso,1,13,ResponsabilitaOrganizzativa,1,14,ResponsabilitaOrganizzativa,1
DipendenzaAssetServizioErogato,DipendenzaAssetServizioErogato.csv,"1,2",4,LivelloCriticita,1,5,LivelloCriticita,1,6,LivelloCriticita,1,7,LivelloCriticita,1,1,Asset,1,2,ServizioErogato,1,,,
Storico_ResponsabilitaOrganizzativa,Storico_ResponsabilitaOrganizzativa.csv,1,,,,,,,,,,,,,,,,,,,,,
Storico_ServizioErogato,Storico_ServizioErogato.csv,1,,,,,,,,,,,,,,,,,,,,,
Storico_Fornitore,Storico_Fornitore.csv,1,,,,,,,,,,,,,,,,,,,,,
Storico_ServizioFruito,Storico_ServizioFruito.csv,1,,,,,,,,,,,,,,,,,,,,,
Storico_Asset,Storico_Asset.csv,1,,,,,,,,,,,,,,,,,,,,,
Storico_DipendenzaAssetServizioErogato,Storico_DipendenzaAssetServizioErogato.csv,1,,,,,,,,,,,,,,,,,,,,,
